                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     70,                0.91462,                0.63489,                 1.0288,                0.71237,                0.74632,                0.70927,                0.52633,                0.97291,                0.81624,                  1.094,              0.0086338,              0.0086338,              0.0086338
                     71,                0.93103,                0.68233,                 1.0656,                0.70159,                0.73009,                0.67416,                0.47786,                0.96443,                0.86221,                 1.0812,               0.008614,               0.008614,               0.008614
                     72,                0.93682,                0.65955,                 1.0563,                0.77727,                 0.7643,                 0.8119,                 0.5882,                0.91166,                0.68849,                 1.0787,              0.0085942,              0.0085942,              0.0085942
                     73,                0.96557,                0.66985,                 1.0534,                0.73718,                0.84699,                0.78466,                0.56455,                0.95753,                 0.6975,                 1.0854,              0.0085744,              0.0085744,              0.0085744
                     74,                0.94475,                0.65611,                 1.0412,                0.70538,                0.85909,                0.80473,                0.59582,                 0.9088,                0.67294,                 1.0599,              0.0085546,              0.0085546,              0.0085546
                     75,                0.90138,                0.62567,                 1.0431,                 0.7194,                0.82112,                0.73956,                0.54964,                0.90137,                0.77814,                 1.0675,              0.0085348,              0.0085348,              0.0085348
                     76,                 0.8923,                0.61696,                 1.0296,                 0.7883,                0.80523,                0.80109,                0.60335,                0.91566,                0.67212,                 1.0763,               0.008515,               0.008515,               0.008515
                     77,                0.87334,                0.65751,                 1.0232,                0.75107,                0.81742,                0.77682,                0.55684,                0.91551,                0.66932,                 1.0676,              0.0084952,              0.0084952,              0.0084952
                     78,                0.91771,                0.62701,                 1.0357,                0.81985,                0.80566,                0.81833,                0.60094,                0.96338,                 0.6546,                 1.0979,              0.0084754,              0.0084754,              0.0084754
                     79,                0.88346,                0.61119,                 1.0171,                0.70712,                0.82338,                0.74541,                0.54665,                0.88167,                0.69349,                  1.053,              0.0084556,              0.0084556,              0.0084556
                     80,                0.88721,                 0.5872,                 1.0284,                0.78965,                0.78788,                 0.8067,                0.60341,                0.90304,                 0.6574,                 1.0527,              0.0084358,              0.0084358,              0.0084358
                     81,                0.91294,                0.63234,                 1.0541,                0.65983,                0.91749,                 0.8224,                0.60894,                0.88731,                 0.6393,                 1.0529,               0.008416,               0.008416,               0.008416
                     82,                0.90014,                0.61915,                 1.0259,                0.64811,                 0.8532,                0.75343,                0.56206,                0.89681,                0.67194,                 1.0567,              0.0083962,              0.0083962,              0.0083962
                     83,                0.86695,                0.60035,                 1.0289,                0.75365,                 0.6996,                0.69711,                0.51252,                   1.04,                 1.1016,                 1.1227,              0.0083764,              0.0083764,              0.0083764
                     84,                0.87638,                0.60248,                 1.0239,                0.76721,                0.84268,                0.81493,                0.60466,                0.91961,                0.60104,                 1.0685,              0.0083566,              0.0083566,              0.0083566
                     85,                 0.9078,                 0.6116,                 1.0467,                0.68854,                0.89958,                0.79555,                0.60167,                0.90602,                0.68201,                 1.0553,              0.0083368,              0.0083368,              0.0083368
                     86,                 0.8835,                0.60487,                 1.0185,                0.72757,                0.79138,                0.75644,                0.58721,                0.89515,                0.68363,                 1.0526,               0.008317,               0.008317,               0.008317
                     87,                0.86634,                0.60134,                 1.0194,                 0.7181,                0.81593,                0.77892,                0.59283,                0.90849,                0.69067,                  1.047,              0.0082972,              0.0082972,              0.0082972
                     88,                0.88305,                0.59457,                 1.0352,                0.77881,                0.85554,                0.86162,                0.66566,                0.86848,                 0.5764,                 1.0372,              0.0082774,              0.0082774,              0.0082774
                     89,                0.89767,                0.62798,                 1.0239,                0.78201,                0.81688,                0.77028,                0.59478,                0.88885,                0.73473,                 1.0492,              0.0082576,              0.0082576,              0.0082576
                     90,                0.87756,                0.61332,                 1.0199,                0.72552,                 0.7614,                0.73679,                0.53065,                0.96152,                0.74923,                 1.0893,              0.0082378,              0.0082378,              0.0082378
                     91,                0.87769,                0.60657,                 1.0091,                 0.8656,                0.79341,                0.82425,                 0.6121,                0.89597,                0.66715,                 1.0618,               0.008218,               0.008218,               0.008218
                     92,                0.87248,                0.57055,                 1.0242,                0.76399,                 0.8075,                0.75117,                0.55071,                0.92411,                0.75387,                  1.069,              0.0081982,              0.0081982,              0.0081982
                     93,                0.87684,                0.61806,                 1.0435,                0.83802,                0.76568,                0.84195,                0.62198,                0.94629,                 0.6157,                 1.0776,              0.0081784,              0.0081784,              0.0081784
                     94,                0.88806,                0.59133,                 1.0089,                0.72707,                0.87941,                0.82365,                0.64077,                  0.911,                0.62082,                 1.0596,              0.0081586,              0.0081586,              0.0081586
                     95,                0.84081,                0.57775,                0.99627,                0.68059,                0.92409,                0.78077,                0.59331,                0.93454,                0.67519,                 1.0687,              0.0081388,              0.0081388,              0.0081388
                     96,                 0.8381,                0.58261,                 1.0144,                0.71708,                 0.7039,                0.70073,                0.52946,                0.96246,                0.84385,                 1.0916,               0.008119,               0.008119,               0.008119
                     97,                0.87069,                0.57581,                 1.0156,                0.71439,                0.86128,                0.76932,                0.57939,                0.87818,                0.69442,                 1.0369,              0.0080992,              0.0080992,              0.0080992
                     98,                0.87343,                0.58725,                 1.0065,                0.73296,                0.90177,                0.81917,                0.62523,                0.88541,                0.61881,                 1.0432,              0.0080794,              0.0080794,              0.0080794
                     99,                0.85359,                0.60685,                 1.0182,                0.70899,                0.86306,                0.77008,                0.58292,                0.86404,                0.65538,                 1.0351,              0.0080596,              0.0080596,              0.0080596
                    100,                0.82672,                0.56085,                 1.0126,                 0.7668,                0.81739,                0.86307,                0.66278,                0.84302,                0.59806,                 1.0298,              0.0080398,              0.0080398,              0.0080398
                    101,                0.86127,                0.60622,                 1.0019,                0.71511,                0.86397,                0.76375,                0.56238,                0.94196,                0.68319,                 1.0921,                0.00802,                0.00802,                0.00802
                    102,                0.85294,                0.58487,                 1.0239,                0.69283,                0.81343,                0.77284,                0.57502,                0.89116,                 0.7078,                 1.0575,              0.0080002,              0.0080002,              0.0080002
                    103,                0.87277,                0.57051,                 1.0131,                0.71063,                0.80378,                0.84619,                0.64451,                0.85845,                0.63675,                 1.0529,              0.0079804,              0.0079804,              0.0079804
                    104,                0.87585,                0.57237,                 1.0207,                0.77301,                0.75383,                0.80267,                0.59916,                 0.9089,                0.71627,                 1.0756,              0.0079606,              0.0079606,              0.0079606
                    105,                0.86974,                0.57496,                 1.0196,                0.72662,                0.81396,                 0.7831,                0.58028,                0.88114,                0.65223,                  1.053,              0.0079408,              0.0079408,              0.0079408
                    106,                0.84494,                0.56467,                 1.0013,                0.82239,                0.83506,                0.79157,                0.60621,                0.87622,                0.65889,                  1.054,               0.007921,               0.007921,               0.007921
                    107,                0.83053,                0.57366,                0.99496,                0.77666,                0.85338,                0.79604,                0.60152,                0.87543,                0.64714,                 1.0563,              0.0079012,              0.0079012,              0.0079012
                    108,                0.83196,                0.56309,                 1.0015,                0.75069,                0.85091,                0.86147,                 0.6372,                0.90581,                0.58805,                 1.0616,              0.0078814,              0.0078814,              0.0078814
                    109,                0.84002,                0.57218,                 1.0071,                0.67963,                0.81261,                0.74807,                0.56104,                0.91161,                 0.7492,                 1.0606,              0.0078616,              0.0078616,              0.0078616
                    110,                0.82528,                0.56094,                 1.0002,                0.85398,                0.71562,                0.78086,                0.59917,                0.88774,                0.68848,                 1.0463,              0.0078418,              0.0078418,              0.0078418
                    111,                0.84824,                0.54974,                0.98919,                0.81648,                0.84221,                0.82776,                 0.6338,                0.89085,                0.66676,                 1.0535,               0.007822,               0.007822,               0.007822
                    112,                0.83529,                0.55452,                0.99383,                0.72985,                 0.8754,                0.83053,                 0.6412,                0.86471,                0.61239,                 1.0495,              0.0078022,              0.0078022,              0.0078022
                    113,                  0.844,                 0.5622,                  1.013,                0.79362,                0.85909,                0.85552,                0.66406,                0.86976,                0.56424,                 1.0401,              0.0077824,              0.0077824,              0.0077824
                    114,                0.83357,                0.55677,                0.99577,                0.74935,                0.84113,                0.80541,                0.60442,                0.85611,                0.63957,                 1.0357,              0.0077626,              0.0077626,              0.0077626
                    115,                0.83706,                0.56005,                 1.0102,                0.74972,                0.84517,                0.76531,                0.59601,                0.83447,                0.66191,                 1.0285,              0.0077428,              0.0077428,              0.0077428
                    116,                0.81256,                0.53618,                0.98453,                0.71687,                0.81839,                 0.7814,                0.59838,                0.93414,                0.71084,                 1.0784,               0.007723,               0.007723,               0.007723
                    117,                0.82104,                0.55705,                0.98607,                0.82475,                0.85461,                0.85964,                0.66311,                0.88576,                0.69752,                 1.0631,              0.0077032,              0.0077032,              0.0077032
                    118,                0.82324,                 0.5534,                0.99351,                0.79126,                0.80939,                 0.8252,                0.62149,                0.92007,                0.61876,                 1.0571,              0.0076834,              0.0076834,              0.0076834
                    119,                0.85246,                 0.5432,                 1.0075,                0.81255,                0.79701,                0.83802,                0.64804,                0.87581,                0.57165,                 1.0373,              0.0076636,              0.0076636,              0.0076636
                    120,                 0.8239,                0.53371,                0.99549,                0.71709,                0.76724,                0.71437,                0.53476,                0.97429,                0.79858,                 1.0981,              0.0076438,              0.0076438,              0.0076438
                    121,                 0.8236,                0.55467,                 1.0057,                0.79908,                0.82824,                0.80809,                0.61379,                0.89756,                 0.6511,                 1.0502,               0.007624,               0.007624,               0.007624
                    122,                0.82117,                0.52548,                 1.0097,                0.66371,                0.72014,                0.68426,                0.51097,                0.91394,                0.86186,                 1.0611,              0.0076042,              0.0076042,              0.0076042
                    123,                0.83235,                0.53904,                 1.0095,                0.81597,                0.76649,                0.80357,                0.61518,                0.91822,                 0.6374,                 1.0643,              0.0075844,              0.0075844,              0.0075844
                    124,                0.81094,                0.52913,                 1.0139,                0.70933,                0.83914,                0.77151,                0.59821,                0.84169,                0.66407,                 1.0344,              0.0075646,              0.0075646,              0.0075646
